,lower,median,upper
2007Q1,2.556098889746204,2.7147784804640622,2.87850893579558
2007Q2,2.58134359969634,2.7404662852727766,2.904282113140717
2007Q3,2.650761952631898,2.809555537064802,2.9764444994288524
2007Q4,2.6774246383804274,2.8433321788139043,3.0154068801615286
2008Q1,2.7327893025648313,2.909479196781337,3.093581503937636
2008Q2,2.7696377688002736,2.9578584407694786,3.1526674940242834
2008Q3,2.7317799350318492,2.934942395317498,3.143028970483456
2008Q4,2.543992451336602,2.7627512932940324,2.983163651022939
2009Q1,2.484609700619989,2.686739164993942,2.8908221923886614
2009Q2,2.482703050464552,2.677450821928594,2.875194312033577
2009Q3,2.529712833446262,2.7213923091593584,2.9096863240397535
2009Q4,2.634672276122361,2.8186970778911693,3.000889858330464
2010Q1,2.7419004315369664,2.9137116620089687,3.0870892932939853
2010Q2,2.7729387061535102,2.935852929154336,3.100705936120313
2010Q3,2.792152163458265,2.948513684568546,3.105437420280811
2010Q4,2.820102203849934,2.974889598131247,3.127551022165054
2011Q1,2.8818694732020678,3.032582382860443,3.184366721835545
2011Q2,2.845828156277569,3.0026912778199746,3.1563481805254883
2011Q3,2.9388337029173943,3.11026441485045,3.315167050941377
2011Q4,2.82303992696946,2.9887312802816717,3.1577630765238736
2012Q1,2.711004147948782,2.8671904060661952,3.0238317585260472
2012Q2,2.6546639796552536,2.7995280875920017,2.944747170692298
2012Q3,2.642863600773035,2.78187939582471,2.921706854111919
2012Q4,2.626666822898769,2.7677728035346814,2.9086162460327243
2013Q1,2.614638797060159,2.755537708087936,2.8971748440850478
2013Q2,2.590900751811033,2.734418725186405,2.8786612081023306
2013Q3,2.5821256030462503,2.726475110730873,2.8719317782550853
2013Q4,2.5846932165194922,2.727845976145572,2.876181916623547
2014Q1,2.598569998022777,2.745910643902248,2.8927806969841803
2014Q2,2.6374022106659045,2.7855941791022714,2.933690322270243
2014Q3,2.6687864119634193,2.8157386773080053,2.964102058590803
2014Q4,2.671447499442932,2.8173863523336715,2.961184498369402
2015Q1,2.6472382413478783,2.79080684844876,2.9335878189891726
2015Q2,2.637686650434765,2.782583593613416,2.931348323238605
2015Q3,2.566669491556122,2.718679449712648,2.8707242296561652
2015Q4,2.4631536227163933,2.6126455480502844,2.763506777244422
2016Q1,2.3981896653276578,2.54447577386225,2.6909033565690423
2016Q2,2.3252880396606352,2.474424409795553,2.625176650081403
2016Q3,2.18424516917378,2.3294544346988917,2.467079872639871
2016Q4,2.208858753093082,2.3371913901029715,2.4665084552386394
2017Q1,2.2168187754147186,2.3439316766692153,2.4707128851995255
2017Q2,2.2216677272589895,2.350380976840269,2.4804546113200954
2017Q3,2.2739045999053684,2.4052058266360454,2.5380797589557114
2017Q4,2.3003301587513643,2.4328286745298553,2.5647289976162684
2018Q1,2.3163914617474095,2.4481184313914053,2.58071448856709
2018Q2,2.323724211706492,2.45572297296919,2.588521732064161
2018Q3,2.2756409838198794,2.4085020160355737,2.5399441348309906
2018Q4,2.260354909180073,2.3946229646033688,2.5293474870169956
2019Q1,2.2128512767027666,2.354974077226299,2.4954141874515456
2019Q2,2.104377211578713,2.247701792627205,2.3928777204936518
2019Q3,2.011934497420857,2.1508512593627245,2.2844334427257293
2019Q4,2.0011960986601087,2.135814697842002,2.2704906279741373
2020Q1,1.9210394081845688,2.060694886925921,2.2017258690912045
2020Q2,1.8010397740702981,1.942088535152869,2.0804826631747595
2020Q3,1.7663549629237516,1.8994808840146655,2.034499632402984
2020Q4,1.7962264221357676,1.928605068520506,2.063357174312918
2021Q1,1.8621533585950654,2.0001628686740656,2.1435171102698023
2021Q2,1.9520584179761205,2.1031569238662295,2.2606875681997827
2021Q3,2.091287102211382,2.266328382974976,2.456029753765726
2021Q4,2.3047948550758304,2.514793289138524,2.74337980606709
2022Q1,2.6250166647489186,2.822025779621872,3.0284641021116876
2022Q2,2.7311347637512426,2.922846619529863,3.124832083706551
2022Q3,2.794220356138188,3.001760013381437,3.22377563255334
2022Q4,2.829460133574752,3.0522105995508912,3.283308364782622
2023Q1,2.8314317356068277,3.0650251853500423,3.305941629330445
2023Q2,2.8043273991935806,3.0372185174597064,3.2784773039761115
2023Q3,2.7822951021485856,3.0100164510061327,3.2417671966101977
2023Q4,2.7721848261443576,2.9894872855556858,3.212405561286864
2024Q1,2.7253297116928055,2.926561595191574,3.1356597370117227
2024Q2,2.683078024184102,2.8758161943872533,3.076968851762059
2024Q3,2.6688416203408645,2.859103016492001,3.0545602372892304
2024Q4,2.5891039365358295,2.769498037059387,2.9554996278211267
2025Q1,2.5633499007743117,2.733416794074385,2.909500017012216
2025Q2,2.5666725435998523,2.7317505336377232,2.900625084700201
2025Q3,2.5522005941155452,2.7270761035860476,2.90646767399469
